author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/307500430/;Зарайск;sale;flat;5;6;5;423.0;1635583643;2003;-1;-1;-1;-1;206 м²;41 м²;+79652918238;Хамовники;Бутиковский переулок;5;Парк Культуры;Бутиковский 5
Метриум Премиум Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/301945082/;Зарайск;sale;flat;4;6;4;231.1;462200000;2017;-1;-1;-1;-1;137 м²;-1;+79660728331;Хамовники;Курсовой переулок;10/1;Кропоткинская;Nabokov
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/304291404/;Зарайск;sale;flat;3;6;3;138.0;129500000;2005;-1;-1;-1;-1;-1;15 м²;+79684858420;Тверской;1-й Колобовский переулок;14;Трубная;
